image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
8.png,saturated fats,21271,0,663.0,342.5,1.5338,mahalanobis,1.3000318181818182,1
8.png,saturated fats,2823232,0,1096.5,342.5,0.3277,mahalanobis,1.3000318181818182,0
8.png,carbohydrate,21271,0,667.5,171.0,1.5761,mahalanobis,1.3000318181818182,1
8.png,carbohydrate,2823232,0,1101.0,171.0,0.5543,mahalanobis,1.3000318181818182,0
8.png,sugars,21271,0,814.0,8.0,1.3833,mahalanobis,1.3000318181818182,1
8.png,sugars,2823232,0,1247.5,8.0,1.3979,mahalanobis,1.3000318181818182,1
9.jpeg,vitamin czuachten,5,0,76.0,37.0,1.3241,mahalanobis,1.396125,0
9.jpeg,vitamin czuachten,30,0,77.0,49.5,1.6855,mahalanobis,1.396125,1
9.jpeg,zinc,5,0,117.5,1.0,1.2496,mahalanobis,1.396125,0
9.jpeg,zinc,30,0,118.5,13.5,0.9816,mahalanobis,1.396125,0
9.jpeg,vitamin c,30,0,105.5,1.0,0.9386,mahalanobis,1.396125,0
9.jpeg,vitamin czuachten,60,1,175.0,49.5,2.3597,euclidean,1.396125,1
9.jpeg,zinc,60,1,216.5,13.5,1.2764,euclidean,1.396125,0
9.jpeg,vitamin c,60,1,203.5,1.0,1.3535,euclidean,1.396125,0
12.png,energy,328,0,1061.4,-1.0,1.128,mahalanobis,1.3012796875,0
12.png,energy,77,0,1032.8,58.5,0.8449,mahalanobis,1.3012796875,0
12.png,energy,0.0,0,1089.5,129.0,0.6439,mahalanobis,1.3012796875,0
12.png,energy,0.0,0,1089.0,199.0,0.4243,mahalanobis,1.3012796875,0
12.png,energy,19,0,1095.5,376.0,0.733,mahalanobis,1.3012796875,0
12.png,energy,0.7,0,1090.0,502.0,1.2346,mahalanobis,1.3012796875,0
12.png,energy,0.0,0,1089.0,624.5,1.7722,mahalanobis,1.3012796875,1
12.png,energy,0.4,0,1089.5,692.0,2.0743,mahalanobis,1.3012796875,1
12.png,energy,77,0,1210.3,0.0,1.6762,mahalanobis,1.3012796875,1
12.png,energy,0.0,0,1267.0,70.5,1.8458,mahalanobis,1.3012796875,1
12.png,energy,0.0,0,1266.5,140.5,1.7301,mahalanobis,1.3012796875,1
12.png,energy,19,0,1273.0,317.5,1.7446,mahalanobis,1.3012796875,1
12.png,energy,0.7,0,1267.5,443.5,1.9031,mahalanobis,1.3012796875,1
12.png,energy,0.0,0,1266.5,566.0,2.2185,mahalanobis,1.3012796875,1
12.png,energy,0.4,0,1267.0,633.5,2.4351,mahalanobis,1.3012796875,1
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.0,0,916.0,1.5,1.4168,mahalanobis,1.3012796875,1
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.0,0,915.5,71.5,1.1883,mahalanobis,1.3012796875,0
